arbeitsort.plz;landkreis_georef;km2;einwohner;r_u_marker
Schlangen;Kreis Lippe;1.245,05;349.348,00;u
Schlangenbad;Landkreis Rheingau-Taunus-Kreis;756,32;176.559,00;u
Schlanstedt;Landkreis Harz;2.113,76;239.545,00;r
Schlat;Landkreis Göppingen;635,74;247.363,00;u
Schlaubetal;Landkreis Oder-Spree;2.211,53;176.547,00;r
Schlauchhof;Landkreis Ostalbkreis;1.564,10;312.218,00;u
Schleching;Landkreis Traunstein;1.457,39;168.951,00;r
Schlechtenmühle;Landkreis Böblingen;616,30;364.070,00;u
Schlechtsart;Landkreis Hildburghausen;902,59;65.171,00;r
Schlegel;Landkreis Görlitz;2.117,33;270.663,00;r
Schlehdorf;Landkreis Bad Tölz-Wolfratshausen;1.129,24;119.328,00;r
Schleich;Landkreis Trier-Saarburg;1.080,07;138.442,00;r
Schleid;Landkreis Eifelkreis Bitburg-Prüm;1.732,70;99.234,00;r
Schleiden;Kreis Euskirchen;1.248,58;188.288,00;u
Schleife;Landkreis Görlitz;2.117,33;270.663,00;r
Schleife-Mulkwitz;Landkreis Görlitz;2.117,33;270.663,00;r
Schleife-Rohne;Landkreis Görlitz;2.117,33;270.663,00;r
Schleifhäusle;Landkreis Ostalbkreis;1.564,10;312.218,00;u
Schleifmühle;Landkreis Main-Spessart;1.325,96;125.841,00;r
Schleifreisen;Landkreis Saale-Holzland-Kreis;729,06;78.732,00;r
Schleifthor;Landkreis Main-Spessart;1.325,96;125.841,00;r
Schleimünde;Kreis Schleswig-Flensburg;1.999,27;221.013,00;r
Schleiz;Landkreis Saale-Orla-Kreis;1.146,29;85.837,00;r
Schlemmin;Landkreis Rostock;3.367,72;219.050,00;r
Schlenzer;Landkreis Teltow-Fläming;2.106,69;159.818,00;r
Schlepzig;Landkreis Dahme-Spreewald;2.278,67;161.072,00;r
Schlesen;Kreis Plön;1.155,28;145.095,00;r
Schleswig;Kreis Schleswig-Flensburg;1.999,27;221.013,00;r
Schlettau;Landkreis Erzgebirgskreis;1.887,88;371.093,00;u
Schleuse;Landkreis Rhein-Lahn-Kreis;826,60;125.539,00;u
Schleuse Dausenau;Landkreis Rhein-Lahn-Kreis;826,60;125.539,00;u
Schleuse Ems;Landkreis Rhein-Lahn-Kreis;826,60;125.539,00;u
Schleusingen;Landkreis Hildburghausen;902,59;65.171,00;r
Schlichting;Kreis Dithmarschen;1.314,31;127.022,00;r
Schlieben;Landkreis Elbe-Elster;1.902,49;110.595,00;r
Schliengen;Landkreis Lörrach;806,08;218.992,00;u
Schlier;Landkreis Ravensburg;1.630,40;270.065,00;u
Schlierbach;Landkreis Göppingen;635,74;247.363,00;u
Schlierschied;Landkreis Birkenfeld;825,16;87.116,00;r
Schliersee;Landkreis Miesbach;866,56;93.835,00;r
Schlitz;Landkreis Vogelsbergkreis;1.457,74;108.737,00;r
Schlöben;Landkreis Saale-Holzland-Kreis;729,06;78.732,00;r
Schlockow;Landkreis Rostock;3.367,72;219.050,00;r
Schloen;Landkreis Mecklenburgische Seenplatte;5.480,97;268.858,00;r
Schloss Detzel;Landkreis Börde;3.099,16;203.092,00;r
Schloß Holte-Stukenbrock;Kreis Gütersloh;968,66;351.402,00;u
Schloßböckelheim;Landkreis Bad Kreuznach;920,86;163.452,00;u
Schloßhof;Landkreis Mayen-Koblenz;628,44;193.047,00;u
Schlößlesmühle;Landkreis Böblingen;616,30;364.070,00;u
Schloßvippach;Landkreis Sömmerda;807,41;71.972,00;r
Schlotfeld;Kreis Steinburg;972,59;127.718,00;r
Schluchsee;Landkreis Breisgau-Hochschwarzwald;1.339,71;244.978,00;u
Schlüchtern;Landkreis Main-Kinzig-Kreis;1.396,03;401.095,00;u
Schlüsselfeld;Landkreis Bamberg;1.167,23;143.775,00;r
Schmakentin;Landkreis Nordwestmecklenburg;2.122,63;157.264,00;r
Schmalenberg;Landkreis Südwestpfalz;1.035,97;109.828,00;r
Schmalensee;Kreis Segeberg;1.443,50;269.392,00;u
Schmalfeld;Kreis Segeberg;1.443,50;269.392,00;u
Schmalfelderhof;Landkreis Donnersbergkreis;705,66;80.477,00;r
Schmalkalden;Landkreis Schmalkalden-Meiningen;1.191,04;126.421,00;r
Schmallenberg;Kreis Hochsauerlandkreis;1.893,60;262.371,00;r
Schmalstede;Kreis Rendsburg-Eckernförde;2.256,69;283.927,00;r
Schmatzfeld;Landkreis Harz;2.113,76;239.545,00;r
Schmatzin;Landkreis Vorpommern-Greifswald;3.987,01;245.914,00;r
Schmedeland;Kreis Schleswig-Flensburg;1.999,27;221.013,00;r
Schmedeswurth;Kreis Dithmarschen;1.314,31;127.022,00;r
Schmeheim;Landkreis Schmalkalden-Meiningen;1.191,04;126.421,00;r
Schmelz;Landkreis Saarlouis;459,43;198.109,00;u
Schmerkendorf;Landkreis Elbe-Elster;1.902,49;110.595,00;r
Schmidgaden;Landkreis Schwandorf;1.448,40;142.029,00;r
Schmidmühlen;Landkreis Amberg-Sulzbach;1.255,95;104.104,00;r
Schmidthachenbach;Landkreis Birkenfeld;825,16;87.116,00;r
Schmiechen;Landkreis Aichach-Friedberg;779,72;126.556,00;u
Schmiedehausen;Landkreis Weimarer Land;813,31;87.083,00;r
Schmieritz;Landkreis Saale-Orla-Kreis;1.146,29;85.837,00;r
Schmilau;Kreis Herzogtum Lauenburg;1.110,71;190.763,00;u
Schmißberg;Landkreis Birkenfeld;825,16;87.116,00;r
Schmitshausen;Landkreis Südwestpfalz;1.035,97;109.828,00;r
Schmitt;Landkreis Cochem-Zell;642,48;58.868,00;r
Schmitten;Landkreis Hochtaunuskreis;481,78;226.168,00;u
Schmittweiler;Landkreis Bad Kreuznach;920,86;163.452,00;u
Schmogrow-Fehrow;Landkreis Spree-Neiße;1.662,10;123.136,00;r
Schmölln;Landkreis Altenburger Land;569,64;97.003,00;u
Schmölln-Putzkau;Landkreis Bautzen;2.402,14;316.006,00;r
Schmon;Landkreis Saalekreis;1.549,73;199.557,00;r
Schmorda;Landkreis Saale-Orla-Kreis;1.146,29;85.837,00;r
Schnabelwaid;Landkreis Bayreuth;1.289,34;105.722,00;r
Schnackenburg;Landkreis Lüchow-Dannenberg;1.227,98;49.463,00;r
Schnackenwöhr;Landkreis Bayreuth;1.289,34;105.722,00;r
Schnaidt;Landkreis Berchtesgadener Land;840,67;100.988,00;r
Schnaitsee;Landkreis Traunstein;1.457,39;168.951,00;r
Schnaittach;Landkreis Nürnberger Land;750,56;164.114,00;u
Schnaittenbach;Landkreis Amberg-Sulzbach;1.255,95;104.104,00;r
Schnakenbek;Kreis Herzogtum Lauenburg;1.110,71;190.763,00;u
Schnarup-Thumby;Kreis Schleswig-Flensburg;1.999,27;221.013,00;r
Schnaudertal;Landkreis Burgenlandkreis;1.310,85;182.743,00;r
Schneckengrün;Landkreis Vogtlandkreis;1.418,85;241.143,00;u
Schneckenhausen;Landkreis Kaiserslautern;537,10;92.400,00;u
Schneckenlohe;Landkreis Kronach;651,32;70.063,00;r
Schneeberg;Landkreis Erzgebirgskreis;1.887,88;371.093,00;u
Schneefernerhaus;Landkreis Garmisch-Partenkirchen;1.012,86;84.149,00;r
Schnega;Landkreis Lüchow-Dannenberg;1.227,98;49.463,00;r
Schneidenbach;Landkreis Vogtlandkreis;1.418,85;241.143,00;u
Schneiderkrug;Landkreis Cloppenburg;1.419,64;160.115,00;r
Schneidmühle;Landkreis Rhein-Lahn-Kreis;826,60;125.539,00;u
Schneizlreuth;Landkreis Berchtesgadener Land;840,67;100.988,00;r
Schnelldorf;Landkreis Ansbach;1.970,53;178.778,00;r
Schneppenbach;Landkreis Bad Kreuznach;920,86;163.452,00;u
Schneverdingen;Landkreis Harburg;1.487,02;257.782,00;u
Schnorbach;Landkreis Rhein-Hunsrück-Kreis;991,23;103.662,00;r
Schnürpflingen;Landkreis Alb-Donau-Kreis;1.365,44;183.722,00;r
Schochen;Landkreis Unterallgäu;1.228,93;135.460,00;r
Schöchleinsmühle;Landkreis Bayreuth;1.289,34;105.722,00;r
Schoden;Landkreis Trier-Saarburg;1.080,07;138.442,00;r
Schöffengrund;Landkreis Lahn-Dill-Kreis;1.065,67;253.676,00;u
Schöfweg;Landkreis Freyung-Grafenau;985,64;78.573,00;r
Scholen;Landkreis Diepholz;1.989,36;212.437,00;r
Schöllbronner Mühle;Landkreis Karlsruhe;1.083,67;424.211,00;u
Schollbrunn;Landkreis Main-Spessart;1.325,96;125.841,00;r
Schollene;Landkreis Stendal;2.679,48;119.034,00;r
Schöllkrippen;Landkreis Aschaffenburg;692,82;174.706,00;u
Schöllnach;Landkreis Deggendorf;862,07;114.830,00;r
Scholmunderhof;Landkreis Bernkastel-Wittlich;1.090,26;112.068,00;r
Scholterhaus;Landkreis Biberach;1.438,69;199.051,00;r
Schömberg;Landkreis Calw;796,74;151.273,00;u
Schömerich;Landkreis Trier-Saarburg;1.080,07;138.442,00;r
Schöna;Landkreis Sächsische Schweiz-Osterzgebirge;1.657,79;247.443,00;r
Schonach im Schwarzwald;Landkreis Schwarzwald-Baar-Kreis;1.024,55;204.281,00;u
Schönaich;Landkreis Böblingen;616,30;364.070,00;u
Schönau;Landkreis Rhein-Neckar-Kreis;972,05;509.406,00;u
Schönau (Pfalz);Landkreis Südwestpfalz;1.035,97;109.828,00;r
Schönau a. Königssee;Landkreis Berchtesgadener Land;840,67;100.988,00;r
Schönau a.d.Brend;Landkreis Rhön-Grabfeld;1.017,06;80.980,00;r
Schönau im Schwarzwald;Landkreis Lörrach;806,08;218.992,00;u
Schönau-Berzdorf;Landkreis Görlitz;2.117,33;270.663,00;r
Schönbach;Landkreis Görlitz;2.117,33;270.663,00;r
Schönbeck;Landkreis Mecklenburgische Seenplatte;5.480,97;268.858,00;r
Schönbek;Kreis Rendsburg-Eckernförde;2.256,69;283.927,00;r
Schönberg;Kreis Stormarn;836,53;205.490,00;u
Schönberg (Holstein);Kreis Plön;1.155,28;145.095,00;r
Schönborn;Kreisfreie Stadt Dresden;328,90;512.829,00;u
Schönbornerhof;Landkreis Kusel;507,89;69.094,00;r
Schönbrunn;Landkreis Hildburghausen;902,59;65.171,00;r
Schönbrunn i. Steigerwald;Landkreis Bamberg;1.167,23;143.775,00;r
Schönburg;Landkreis Burgenlandkreis;1.310,85;182.743,00;r
Schöndorf;Landkreis Saale-Orla-Kreis;1.146,29;85.837,00;r
Schondorf am Ammersee;Landkreis Landsberg am Lech;768,72;111.807,00;r
Schondra;Landkreis Bad Kissingen;1.140,11;104.137,00;r
Schöne Aussicht;Landkreis Cochem-Zell;642,48;58.868,00;r
Schönebeck (Elbe);Landkreis Salzlandkreis;1.433,92;205.785,00;r
Schöneberg;Landkreis Altenkirchen (Westerwald);774,66;148.052,00;u
Schöneck;Landkreis Main-Kinzig-Kreis;1.396,03;401.095,00;u
Schöneck/Vogtl.;Landkreis Vogtlandkreis;1.418,85;241.143,00;u
Schönecken;Landkreis Eifelkreis Bitburg-Prüm;1.732,70;99.234,00;r
Schönefeld;Landkreis Dahme-Spreewald;2.278,67;161.072,00;r
Schöneiche;Landkreis Oder-Spree;2.211,53;176.547,00;r
Schönenberg;Landkreis Lörrach;806,08;218.992,00;u
Schönenberg-Kübelberg;Landkreis Kusel;507,89;69.094,00;r
Schönermark;Landkreis Oberhavel;1.810,74;201.581,00;r
Schönewalde;Landkreis Elbe-Elster;1.902,49;110.595,00;r
Schönewörde;Landkreis Gifhorn;1.566,89;171.648,00;r
Schönfeld;Landkreis Mecklenburgische Seenplatte;5.480,97;268.858,00;r
Schönfließ;Landkreis Märkisch-Oderland;2.151,55;187.656,00;r
Schongau;Landkreis Weilheim-Schongau;983,83;128.973,00;r
Schöngeising;Landkreis Fürstenfeldbruck;434,67;201.631,00;u
Schöngleina;Landkreis Saale-Holzland-Kreis;729,06;78.732,00;r
Schönhagen;Landkreis Eichsfeld;942,96;102.407,00;r
Schönhausen;Landkreis Vorpommern-Greifswald;3.987,01;245.914,00;r
Schönhausen (Elbe);Landkreis Stendal;2.679,48;119.034,00;r
Schönheide;Landkreis Erzgebirgskreis;1.887,88;371.093,00;u
Schönhorst;Kreis Plön;1.155,28;145.095,00;r
Schöningen;Landkreis Helmstedt;681,68;91.558,00;r
Schönkirchen;Kreis Plön;1.155,28;145.095,00;r
Schönsee;Landkreis Schwandorf;1.448,40;142.029,00;r
Schönstedt;Landkreis Unstrut-Hainich-Kreis;963,55;105.530,00;r
Schonstett;Landkreis Rosenheim;1.518,28;244.687,00;u
Schöntal;Landkreis Hohenlohekreis;775,90;107.497,00;r
Schonterhöhe;Landkreis Göppingen;635,74;247.363,00;u
Schönthal;Landkreis Cham;1.528,50;126.237,00;r
Schonungen;Landkreis Schweinfurt;832,66;113.230,00;r
Schönwald;Landkreis Dahme-Spreewald;2.278,67;161.072,00;r
Schönwald im Schwarzwald;Landkreis Schwarzwald-Baar-Kreis;1.024,55;204.281,00;u
Schönwalde;Landkreis Vorpommern-Greifswald;3.987,01;245.914,00;r
Schönwalde am Bungsberg;Kreis Ostholstein;1.325,41;188.322,00;r
Schönwalde-Glien;Landkreis Havelland;1.644,35;154.033,00;r
Schönwolde;Landkreis Nordwestmecklenburg;2.122,63;157.264,00;r
Schönwölkau;Landkreis Nordsachsen;2.030,82;201.758,00;r
Schopfheim;Landkreis Lörrach;806,08;218.992,00;u
Schopfloch;Landkreis Ansbach;1.970,53;178.778,00;r
Schopp;Landkreis Kaiserslautern;537,10;92.400,00;u
Schöppenstedt;Landkreis Wolfenbüttel;718,18;120.810,00;u
Schöppingen;Kreis Borken;1.420,32;364.240,00;u
Schöps;Landkreis Saale-Holzland-Kreis;729,06;78.732,00;r
Schopsdorf;Landkreis Jerichower Land;2.021,83;103.142,00;r
Schöpstal;Landkreis Görlitz;2.117,33;270.663,00;r
Schoren;Landkreis Schwarzwald-Baar-Kreis;1.024,55;204.281,00;u
Schorfheide;Landkreis Barnim;1.480,50;172.581,00;r
Schörghof;Landkreis Weilheim-Schongau;983,83;128.973,00;r
Schorlenberg;Landkreis Kaiserslautern;537,10;92.400,00;u
Schorndorf;Landkreis Cham;1.528,50;126.237,00;r
Schornsheim;Landkreis Alzey-Worms;591,37;125.821,00;u
Schorssow;Landkreis Rostock;3.367,72;219.050,00;r
Schortens;Landkreis Friesland;619,35;98.662,00;u
Schossin;Landkreis Ludwigslust-Parchim;5.275,72;226.973,00;r
Schotten;Landkreis Vogelsbergkreis;1.457,74;108.737,00;r
Schottersmühle;Landkreis Bayreuth;1.289,34;105.722,00;r
Schraden;Landkreis Elbe-Elster;1.902,49;110.595,00;r
Schramberg;Landkreis Rottweil;768,90;136.717,00;u
Schraplau;Landkreis Saalekreis;1.549,73;199.557,00;r
Schrecksbach;Landkreis Schwalm-Eder-Kreis;1.537,76;182.119,00;r
Schretstaken;Kreis Herzogtum Lauenburg;1.110,71;190.763,00;u
Schriesheim;Landkreis Rhein-Neckar-Kreis;972,05;509.406,00;u
Schrobenhausen;Landkreis Neuburg-Schrobenhausen;739,37;90.764,00;r
Schrozberg;Landkreis Schwäbisch Hall;1.483,20;186.723,00;r
Schrum;Kreis Dithmarschen;1.314,31;127.022,00;r
Schuby;Kreis Schleswig-Flensburg;1.999,27;221.013,00;r
Schuckmannshöhe;Landkreis Vorpommern-Greifswald;3.987,01;245.914,00;r
Schuhegg;Landkreis Traunstein;1.457,39;168.951,00;r
Schuld;Landkreis Ahrweiler;816,76;129.806,00;u
Schulenberg;Landkreis Goslar;966,12;140.303,00;r
Schulendorf;Kreis Herzogtum Lauenburg;1.110,71;190.763,00;u
Schülldorf;Kreis Rendsburg-Eckernförde;2.256,69;283.927,00;r
Schüller;Landkreis Vulkaneifel;1.042,71;76.776,00;r
Schülp;Kreis Dithmarschen;1.314,31;127.022,00;r
Schülp b. Rendsburg;Kreis Rendsburg-Eckernförde;2.256,69;283.927,00;r
Schulzendorf;Landkreis Dahme-Spreewald;2.278,67;161.072,00;r
Schummhof;Landkreis Schwäbisch Hall;1.483,20;186.723,00;r
Schürdt;Landkreis Altenkirchen (Westerwald);774,66;148.052,00;u
Schürensöhlen;Kreis Stormarn;836,53;205.490,00;u
Schurrenhof;Landkreis Ostalbkreis;1.564,10;312.218,00;u
Schuttertal;Landkreis Ortenaukreis;1.944,82;432.903,00;u
Schutterwald;Landkreis Ortenaukreis;1.944,82;432.903,00;u
Schüttorf;Landkreis Grafschaft Bentheim;981,65;133.979,00;r
Schutz;Landkreis Vulkaneifel;1.042,71;76.776,00;r
Schütz;Landkreis Berchtesgadener Land;840,67;100.988,00;r
Schutzbach;Landkreis Altenkirchen (Westerwald);774,66;148.052,00;u
Schützenhof;Landkreis Göppingen;635,74;247.363,00;u
Schwaan;Landkreis Rostock;3.367,72;219.050,00;r
Schwaara;Landkreis Greiz;912,16;111.451,00;r
Schwabach;Landkreis Roth;934,62;162.015,00;u
Schwabbruck;Landkreis Weilheim-Schongau;983,83;128.973,00;r
Schwabenheim an der Selz;Landkreis Mainz-Bingen;571,11;193.441,00;u
Schwabert;Landkreis Eifelkreis Bitburg-Prüm;1.732,70;99.234,00;r
Schwabhausen;Landkreis Dachau;576,89;138.642,00;u
Schwäbisch Gmünd;Landkreis Ostalbkreis;1.564,10;312.218,00;u
Schwäbisch Hall;Landkreis Schwäbisch Hall;1.483,20;186.723,00;r
Schwabmünchen;Landkreis Augsburg;1.078,84;238.845,00;u
Schwabsoien;Landkreis Weilheim-Schongau;983,83;128.973,00;r
Schwabstedt;Kreis Nordfriesland;2.129,66;166.100,00;r
Schwaförden;Landkreis Diepholz;1.989,36;212.437,00;r
Schwaig b. Nürnberg;Landkreis Nürnberger Land;750,56;164.114,00;u
Schwaigen;Landkreis Garmisch-Partenkirchen;1.012,86;84.149,00;r
Schwaigern;Landkreis Heilbronn;1.094,32;323.213,00;u
Schwaikheim;Landkreis Rems-Murr-Kreis;788,93;399.855,00;u
Schwalbach;Landkreis Saarlouis;459,43;198.109,00;u
Schwalbach am Taunus;Landkreis Main-Taunus-Kreis;221,90;224.124,00;u
Schwalberhof;Landkreis Mayen-Koblenz;628,44;193.047,00;u
Schwall;Landkreis Rhein-Hunsrück-Kreis;991,23;103.662,00;r
Schwallungen;Landkreis Schmalkalden-Meiningen;1.191,04;126.421,00;r
Schwalmstadt;Landkreis Schwalm-Eder-Kreis;1.537,76;182.119,00;r
Schwalmtal;Kreis Viersen;563,34;296.528,00;u
Schwammgraben;Landkreis Berchtesgadener Land;840,67;100.988,00;r
Schwanau;Landkreis Ortenaukreis;1.944,82;432.903,00;u
Schwandorf;Landkreis Schwandorf;1.448,40;142.029,00;r
Schwanebeck;Landkreis Börde;3.099,16;203.092,00;r
Schwanefeld;Landkreis Börde;3.099,16;203.092,00;r
Schwanenmühle;Landkreis Südwestpfalz;1.035,97;109.828,00;r
Schwanewede;Landkreis Osterholz;575,30;102.259,00;u
Schwanfeld;Landkreis Schweinfurt;832,66;113.230,00;r
Schwangau;Landkreis Ostallgäu;1.393,01;133.904,00;r
Schwanheide;Landkreis Ludwigslust-Parchim;5.275,72;226.973,00;r
Schwanheim;Landkreis Südwestpfalz;1.035,97;109.828,00;r
Schwanow;Landkreis Ostprignitz-Ruppin;2.287,92;92.128,00;r
Schwansee;Landkreis Sömmerda;807,41;71.972,00;r
Schwanstetten;Landkreis Roth;934,62;162.015,00;u
Schwarme;Landkreis Diepholz;1.989,36;212.437,00;r
Schwarmstedt;Landkreis Heidekreis;1.624,73;118.316,00;r
Schwartbuck;Kreis Plön;1.155,28;145.095,00;r
Schwarz;Landkreis Mecklenburgische Seenplatte;5.480,97;268.858,00;r
Schwarza;Landkreis Schmalkalden-Meiningen;1.191,04;126.421,00;r
Schwarzach;Landkreis Neckar-Odenwald-Kreis;1.125,86;143.213,00;r
Schwarzach a. Main;Landkreis Kitzingen;683,60;87.849,00;r
Schwarzach b. Nabburg;Landkreis Schwandorf;1.448,40;142.029,00;r
Schwarzatal;Landkreis Saalfeld-Rudolstadt;977,95;109.608,00;r
Schwarzbach;Landkreis Eifelkreis Bitburg-Prüm;1.732,70;99.234,00;r
Schwarzburg;Landkreis Saalfeld-Rudolstadt;977,95;109.608,00;r
Schwarzen;Landkreis Rhein-Hunsrück-Kreis;991,23;103.662,00;r
Schwarzenbach;Landkreis Neustadt a.d. Waldnaab;1.509,77;138.940,00;r
Schwarzenbach a.d.Saale;Landkreis Hof;885,37;99.647,00;r
Schwarzenbach a.Wald;Landkreis Hof;885,37;99.647,00;r
Schwarzenbek;Kreis Herzogtum Lauenburg;1.110,71;190.763,00;u
Schwarzenberg;Landkreis Berchtesgadener Land;840,67;100.988,00;r
Schwarzenberg/Erzgeb.;Landkreis Erzgebirgskreis;1.887,88;371.093,00;u
Schwarzenborn;Landkreis Eifelkreis Bitburg-Prüm;1.732,70;99.234,00;r
Schwarzenbruck;Landkreis Nürnberger Land;750,56;164.114,00;u
Schwarzenfeld;Landkreis Schwandorf;1.448,40;142.029,00;r
Schwarzengraben;Landkreis Donnersbergkreis;705,66;80.477,00;r
Schwarzerden;Landkreis Bad Kreuznach;920,86;163.452,00;u
Schwarzheide;Landkreis Oberspreewald-Lausitz;1.225,79;118.277,00;r
Schwarzhofen;Landkreis Schwandorf;1.448,40;142.029,00;r
Schwasdorf;Landkreis Rostock;3.367,72;219.050,00;r
Schwebheim;Landkreis Schweinfurt;832,66;113.230,00;r
Schwedelbach;Landkreis Kaiserslautern;537,10;92.400,00;u
Schwedeneck;Kreis Rendsburg-Eckernförde;2.256,69;283.927,00;r
Schwedt/Oder;Landkreis Uckermark;2.914,27;122.383,00;r
Schwegenheim;Landkreis Germersheim;450,37;121.357,00;u
Schweich;Landkreis Trier-Saarburg;1.080,07;138.442,00;r
Schweickershausen;Landkreis Hildburghausen;902,59;65.171,00;r
Schweigen-Rechtenbach;Landkreis Südliche Weinstraße;667,05;109.962,00;u
Schweighausen;Landkreis Rhein-Lahn-Kreis;826,60;125.539,00;u
Schweighofen;Landkreis Südliche Weinstraße;667,05;109.962,00;u
Schweiler;Landkreis Eifelkreis Bitburg-Prüm;1.732,70;99.234,00;r
Schweindorf;Landkreis Wittmund;661,98;57.286,00;r
Schweinfurt;Kreisfreie Stadt Schweinfurt;35,53;52.159,00;u
Schweinfurter Haus;Landkreis Rhön-Grabfeld;1.017,06;80.980,00;r
Schweinitz;Landkreis Jerichower Land;2.021,83;103.142,00;r
Schweinschied;Landkreis Donnersbergkreis;705,66;80.477,00;r
Schweisweiler;Landkreis Donnersbergkreis;705,66;80.477,00;r
Schweitenkirchen;Landkreis Pfaffenhofen a.d. Ilm;773,79;117.865,00;u
Schweix;Landkreis Südwestpfalz;1.035,97;109.828,00;r
Schwellhäusl;Landkreis Regen;976,16;77.066,00;r
Schwelm;Kreis Ennepe-Ruhr-Kreis;408,24;326.046,00;u
Schwendi;Landkreis Biberach;1.438,69;199.051,00;r
Schwenningen;Landkreis Dillingen a.d. Donau;791,86;93.455,00;r
Schwentinental;Kreis Plön;1.155,28;145.095,00;r
Schwepnitz;Landkreis Bautzen;2.402,14;316.006,00;r
Schweppenhausen;Landkreis Bad Kreuznach;920,86;163.452,00;u
Schwerbach;Landkreis Birkenfeld;825,16;87.116,00;r
Schwerin;Kreisfreie Stadt Schwerin;130,62;91.344,00;u
Schweringen;Landkreis Nienburg (Weser);1.399,84;122.881,00;r
Schwerinsdorf;Landkreis Leer;1.066,74;164.663,00;u
Schwerstedt;Landkreis Sömmerda;807,41;71.972,00;r
Schwerte;Kreis Unna;542,78;396.276,00;u
Schwesing;Kreis Nordfriesland;2.129,66;166.100,00;r
Schwetzingen;Landkreis Rhein-Neckar-Kreis;972,05;509.406,00;u
Schwieberdingen;Landkreis Ludwigsburg;690,72;510.260,00;u
Schwielochsee;Landkreis Dahme-Spreewald;2.278,67;161.072,00;r
Schwielowsee;Landkreis Potsdam-Mittelmark;2.603,43;203.609,00;r
Schwienau;Landkreis Uelzen;1.481,69;93.949,00;r
Schwifting;Landkreis Landsberg am Lech;768,72;111.807,00;r
Schwindegg;Landkreis Mühldorf a. Inn;819,66;115.808,00;r
Schwirzheim;Landkreis Eifelkreis Bitburg-Prüm;1.732,70;99.234,00;r
Schwissel;Kreis Segeberg;1.443,50;269.392,00;u
Schwobfeld;Landkreis Eichsfeld;942,96;102.407,00;r
Schwollen;Landkreis Birkenfeld;825,16;87.116,00;r
Schwörstadt;Landkreis Lörrach;806,08;218.992,00;u
Schwülper;Landkreis Gifhorn;1.566,89;171.648,00;r
Sebnitz;Landkreis Sächsische Schweiz-Osterzgebirge;1.657,79;247.443,00;r
Sechzehneichen;Landkreis Ostprignitz-Ruppin;2.287,92;92.128,00;r
Seck;Landkreis Westerwaldkreis;896,44;189.443,00;u
Seckach;Landkreis Neckar-Odenwald-Kreis;1.125,86;143.213,00;r
Seddiner See;Landkreis Potsdam-Mittelmark;2.603,43;203.609,00;r
Sedlitz;Landkreis Oberspreewald-Lausitz;1.225,79;118.277,00;r
Seebach;Landkreis Ortenaukreis;1.944,82;432.903,00;u
Seebad Ahlbeck;Landkreis Vorpommern-Greifswald;3.987,01;245.914,00;r
Seebad Bansin;Landkreis Vorpommern-Greifswald;3.987,01;245.914,00;r
Seeblick;Landkreis Stendal;2.679,48;119.034,00;r
Seebruck;Landkreis Traunstein;1.457,39;168.951,00;r
Seeburg;Landkreis Göttingen;1.676,76;317.156,00;u
Seedorf;Kreis Herzogtum Lauenburg;1.110,71;190.763,00;u
Seefeld;Kreis Rendsburg-Eckernförde;2.256,69;283.927,00;r
Seeg;Landkreis Ostallgäu;1.393,01;133.904,00;r
Seegebiet Mansfelder Land;Landkreis Mansfeld-Südharz;1.419,73;132.925,00;r
Seehausen (Altmark);Landkreis Stendal;2.679,48;119.034,00;r
Seehausen a. Staffelsee;Landkreis Garmisch-Partenkirchen;1.012,86;84.149,00;r
Seeheim-Jugenheim;Landkreis Darmstadt-Dieburg;658,06;282.676,00;u
Seehof;Landkreis Nordwestmecklenburg;2.122,63;157.264,00;r
Seekirch;Landkreis Biberach;1.438,69;199.051,00;r
Seelbach;Landkreis Altenkirchen (Westerwald);774,66;148.052,00;u
Seelbach (Westerwald);Landkreis Altenkirchen (Westerwald);774,66;148.052,00;u
Seelen;Landkreis Donnersbergkreis;705,66;80.477,00;r
Seelingstädt;Landkreis Greiz;912,16;111.451,00;r
Seelitz;Landkreis Mittelsachsen;2.061,49;314.980,00;u
Seelow;Landkreis Märkisch-Oderland;2.151,55;187.656,00;r
Seelze;Landkreis Region Hannover;2.295,00;1.102.881,00;u
Seeon;Landkreis Traunstein;1.457,39;168.951,00;r
Seerhausen;Landkreis Meißen;1.456,73;247.615,00;u
Seesbach;Landkreis Bad Kreuznach;920,86;163.452,00;u
Seesen;Landkreis Goslar;966,12;140.303,00;r
Seeshaupt;Landkreis Weilheim-Schongau;983,83;128.973,00;r
Seester;Kreis Pinneberg;659,48;297.751,00;u
Seestermühe;Kreis Pinneberg;659,48;297.751,00;u
Seeth;Kreis Nordfriesland;2.129,66;166.100,00;r
Seeth-Ekholt;Kreis Pinneberg;659,48;297.751,00;u
Seevetal;Landkreis Harburg;1.487,02;257.782,00;u
Seewald;Landkreis Freudenstadt;782,23;93.971,00;r
Seewiesen;Landkreis Starnberg;465,68;120.683,00;u
Seffern;Landkreis Eifelkreis Bitburg-Prüm;1.732,70;99.234,00;r
Sefferweich;Landkreis Eifelkreis Bitburg-Prüm;1.732,70;99.234,00;r
Segeletz;Landkreis Havelland;1.644,35;154.033,00;r
Segeletz Bahnhof;Landkreis Havelland;1.644,35;154.033,00;r
Seggebruch;Landkreis Schaumburg;675,21;157.917,00;u
Seggerde;Landkreis Börde;3.099,16;203.092,00;r
Segnitz;Landkreis Kitzingen;683,60;87.849,00;r
