arbeitsort.plz;landkreis_georef;km2;einwohner;r_u_marker
Arzfeld;Landkreis Eifelkreis Bitburg-Prüm;1.732,70;99.234,00;r
Asbach;Landkreis Birkenfeld;825,16;87.116,00;r
Asbach-Bäumenheim;Landkreis Donau-Ries;1.273,90;128.113,00;r
Asbacherhütte;Landkreis Birkenfeld;825,16;87.116,00;r
Asbach-Sickenberg;Landkreis Eichsfeld;942,96;102.407,00;r
Ascha;Landkreis Straubing-Bogen;1.202,52;96.269,00;r
Aschaffenburg;Kreisfreie Stadt Aschaffenburg;62,42;67.367,00;u
Aschau a. Inn;Landkreis Mühldorf a. Inn;819,66;115.808,00;r
Aschau i. Chiemgau;Landkreis Rosenheim;1.518,28;244.687,00;u
Aschbach;Landkreis Kusel;507,89;69.094,00;r
Ascheberg;Kreis Coesfeld;1.111,59;215.887,00;u
Ascheberg (Holstein);Kreis Segeberg;1.443,50;269.392,00;u
Ascheffel;Kreis Rendsburg-Eckernförde;2.256,69;283.927,00;r
Aschendorf;Landkreis Emsland;2.882,18;312.236,00;r
Aschenhütte;Landkreis Göttingen;1.676,76;317.156,00;u
Aschersleben;Landkreis Salzlandkreis;1.433,92;205.785,00;r
Aschheim;Landkreis München;670,63;317.883,00;u
Asendorf;Landkreis Diepholz;1.989,36;212.437,00;r
Aspach;Landkreis Gotha;951,39;137.259,00;r
Aspelhorn;Landkreis Lüneburg;1.068,20;169.554,00;u
Aspenstedt;Landkreis Harz;2.113,76;239.545,00;r
Asperg;Landkreis Ludwigsburg;690,72;510.260,00;u
Aspisheim;Landkreis Mainz-Bingen;571,11;193.441,00;u
Assamstadt;Landkreis Main-Tauber-Kreis;1.268,66;126.991,00;r
Asselfingen;Landkreis Alb-Donau-Kreis;1.365,44;183.722,00;r
Aßlar;Landkreis Lahn-Dill-Kreis;1.065,67;253.676,00;u
Aßling;Landkreis Ebersberg;566,19;135.859,00;u
Astert;Landkreis Westerwaldkreis;896,44;189.443,00;u
Athenstedt;Landkreis Harz;2.113,76;239.545,00;r
